_date_	FAG1	FAG2	FAG3	FAG4	FAG5
2013-10-01	-1.655879	-0.136127	-0.305492	-0.761508	0.246388
2013-11-01	-2.380309	0.946672	0.081409	-0.337380	1.288692
2013-12-01	-2.237615	1.024452	0.397208	-0.567730	1.308203
2014-01-01	-2.159902	1.015153	0.248056	-0.677361	1.155946
2014-02-01	-2.023840	0.755922	-0.045658	-0.861958	0.804343
2014-03-01	-2.414944	1.206673	0.006495	-0.603297	0.770000
2014-04-01	-2.868830	0.957324	-0.236419	-0.208135	0.035533
2014-05-01	-3.756829	1.010394	-0.313318	0.349529	-0.338793
2014-06-01	-4.174546	0.600533	-0.240910	0.366026	-0.574085
2014-07-01	-4.599502	0.815024	0.272749	0.521588	-0.101017
2014-08-01	-4.585734	0.524245	0.417750	0.556565	-0.074406
2014-09-01	-4.046456	0.743124	0.719984	0.477102	0.081324
2014-10-01	-3.662995	0.635703	0.064716	0.759744	-0.046386
2014-11-01	-2.832141	0.392980	-0.344896	0.557520	-0.435956
2014-12-01	-3.060793	0.346204	-0.825747	0.554243	-0.635428
2015-01-01	-2.194364	0.567511	0.145646	0.112093	0.407028
2015-02-01	-1.536374	1.211286	0.936296	0.249481	1.964341
2015-03-01	-0.531105	0.964668	0.961646	-0.194488	1.909104
2015-04-01	-0.339740	0.721684	0.470354	-0.595331	1.309934
2015-05-01	0.113756	0.384667	0.089020	-0.937638	1.123840
2015-06-01	0.291791	0.635191	-0.134390	-0.809403	1.244307
2015-07-01	0.346735	0.552352	-0.503627	-0.532171	1.239716
2015-08-01	0.457321	0.624630	-0.561957	-0.123587	2.229637
2015-09-01	0.802368	0.509229	-0.329137	-0.315178	2.773348
2015-10-01	1.496428	0.463904	-0.066557	-0.806308	2.104445
2015-11-01	0.984414	0.529018	-0.307616	-0.678126	1.371595
2015-12-01	0.706672	0.307774	-0.554850	-0.717051	0.816865
2016-01-01	-0.122357	0.334505	-1.253748	-0.394589	0.386498
2016-02-01	-1.121128	0.265245	-1.704618	-0.273543	-0.157555
2016-03-01	-1.618413	0.479887	-1.709967	-0.163450	0.285197
2016-04-01	-1.810200	0.815387	-1.486117	0.278704	1.420289
2016-05-01	-1.697205	0.950924	-1.427280	0.213289	1.311651
2016-06-01	-1.561739	0.925099	-1.420215	0.287703	1.352259
2016-07-01	-1.107981	0.803271	-1.493130	-0.024850	0.919377
2016-08-01	-1.312195	1.151971	-1.681321	-0.214469	-0.070411
2016-09-01	-1.773304	0.986597	-1.989590	-0.240492	-0.741272
2016-10-01	-2.383855	0.918674	-1.969430	0.122654	-0.060621
2016-11-01	-2.005496	1.032475	-1.443357	0.050676	0.814871
2016-12-01	-1.322072	1.647367	-1.078453	0.200169	1.373345
2017-01-01	-0.325532	2.046465	-0.744708	0.610866	2.525466
2017-02-01	0.980779	1.501711	-0.888101	0.122538	2.032604
2017-03-01	1.084857	1.308533	-1.264395	0.250104	1.597305
2017-04-01	0.961780	1.034835	-1.394302	-0.225845	0.269143
2017-05-01	0.284451	1.427414	-1.418874	0.094147	0.439895
2017-06-01	0.195366	1.375852	-1.003695	-0.256070	0.535758
2017-07-01	-0.327373	1.396288	-0.626437	-0.146755	1.131566
2017-08-01	-0.133766	0.881068	-0.003782	-0.454916	1.515629
2017-09-01	0.166552	0.763649	0.295157	-0.442606	1.732275
2017-10-01	1.241769	0.667423	0.430215	-0.751961	1.606611
2017-11-01	1.661162	0.995660	0.226025	-0.689445	1.429424
2017-12-01	1.585359	1.116709	0.013527	-0.612653	1.148581
2018-01-01	0.697776	1.275664	-0.219419	-0.347756	0.533359
2018-02-01	-0.040693	1.608702	-0.123777	0.206571	0.921762
2018-03-01	-0.128282	1.402973	-0.080167	0.256452	0.987883
2018-04-01	0.151423	1.578957	0.018172	0.594387	1.701014
2018-05-01	0.889674	1.205756	-0.020367	0.375484	1.537082
2018-06-01	1.035319	1.211026	-0.236361	0.251133	0.758981
2018-07-01	0.927052	1.180727	-0.512051	0.075124	0.001548
2018-08-01	0.444037	1.312556	-0.601225	0.049130	-0.054264
2018-09-01	0.390226	1.220755	-0.603556	0.162137	0.221699
2018-10-01	0.228379	1.352480	-0.648163	0.349548	0.549205
2018-11-01	-0.014343	1.139861	-0.859464	0.283693	-0.089799
2018-12-01	-0.398623	1.556713	-0.745119	0.317032	-0.044556
2019-01-01	-1.538738	2.181840	-1.173027	0.780212	-0.678217
2019-02-01	-2.134158	2.631591	-1.355030	1.074965	-1.373749
2019-03-01	-2.527093	2.733158	-1.423598	1.327910	-1.744433
2019-04-01	-2.184430	2.046513	-1.077537	0.543834	-2.035145
2019-05-01	-2.657620	2.143512	-0.972812	0.610446	-1.818377
2019-06-01	-2.402844	1.897640	-0.747066	0.734448	-0.908189
2019-07-01	-1.713243	1.410822	-0.260085	0.463198	0.129162
2019-08-01	-1.145149	0.907036	-0.435641	0.282756	-0.042801
2019-09-01	-1.704376	1.226993	-1.074010	0.791251	-0.537850
2019-10-01	-2.410364	1.460135	-1.663960	1.421493	-0.917113
2019-11-01	-2.459805	1.688667	-1.801971	1.820721	-0.531717
2019-12-01	-2.188327	1.025392	-1.920864	1.546326	-1.043722
2020-01-01	-1.290844	0.452980	-1.453368	0.912835	-0.703925
2020-02-01	-0.607831	-0.129294	-1.017543	0.122268	-0.167834
2020-03-01	0.292469	0.010225	-0.297427	-0.342514	1.375229
2020-04-01	1.192646	0.092970	0.285790	-0.745710	2.527777
2020-05-01	1.958989	0.058232	1.205104	-1.469691	3.020629
2020-06-01	1.082177	-0.236001	1.421187	-1.825720	1.455906
2020-07-01	-0.255742	-0.397331	1.584841	-1.543045	0.421815
2020-08-01	-1.136892	-0.783733	1.537069	-1.304721	-0.080420
2020-09-01	-0.548848	-1.039474	2.100429	-1.830919	-0.030125
2020-10-01	0.071785	-1.092101	2.249620	-2.131111	0.140119
2020-11-01	-0.090640	-0.723251	2.225927	-2.057435	-0.254102
2020-12-01	-1.441155	-0.049385	1.596647	-0.775792	-0.432859
2021-01-01	-2.111065	0.012298	1.183664	0.357438	-0.158043
2021-02-01	-2.518313	-0.057026	0.739674	1.211509	0.266768
2021-03-01	-1.780767	-0.414984	0.676849	1.070706	-0.198328
2021-04-01	-2.002187	-0.565645	0.077451	1.903900	-0.653697
2021-05-01	-1.916522	-0.792795	-0.616487	2.571435	-1.233085
2021-06-01	-1.511318	-0.646658	-1.050053	2.851683	-0.966229
2021-07-01	-1.073129	0.024758	-1.795619	3.350859	-0.362581
2021-08-01	-0.291170	0.688106	-2.073920	3.607028	0.379679
2021-09-01	-0.053349	0.905329	-2.345459	3.946487	1.024941
2021-10-01	0.310540	0.843148	-1.958871	3.964353	1.173581
2021-11-01	1.441978	0.521625	-1.444819	3.926120	2.042857
2021-12-01	3.872695	-0.266061	-0.623461	3.004017	2.757757
2022-01-01	5.103772	-0.532989	-0.438986	1.968135	1.918801
2022-02-01	5.532919	-0.417265	-0.235165	1.539090	0.862078
2022-03-01	4.920809	-0.591224	-0.655411	2.107500	-0.376230
2022-04-01	5.354699	-0.200557	-0.907417	2.515408	-1.053396
2022-05-01	6.079917	-0.194127	-1.154011	2.600491	-1.408340
2022-06-01	6.822566	0.462433	-1.290697	3.137201	-0.561249
2022-07-01	8.291681	-0.380268	-0.709690	2.427791	-0.556684
2022-08-01	8.901971	-0.556241	-0.316306	2.290660	-0.242108
2022-09-01	8.961812	-0.665856	-0.049337	1.953317	-0.218720
2022-10-01	8.431152	-0.246690	-0.710424	1.877418	-0.511894
2022-11-01	7.724688	-0.137433	-1.393736	1.190252	-1.164051
2022-12-01	7.062825	0.760617	-1.768274	0.614745	-1.124863
2023-01-01	6.960623	0.200212	-1.512074	-0.300971	-1.168119
2023-02-01	7.428419	0.028341	-1.509372	-0.861077	-0.452552
2023-03-01	7.433121	-0.489260	-2.066944	-2.136495	-0.757518
2023-04-01	6.388403	-0.064558	-2.452866	-2.572202	-0.766325
2023-05-01	4.432122	0.090479	-2.912548	-2.963107	-0.956755
2023-06-01	3.511933	-0.327558	-2.741127	-3.628019	-0.693926
2023-07-01	2.614116	0.479835	-3.248473	-3.364857	-0.334584
2023-08-01	2.251802	0.549904	-3.524962	-3.791754	-0.965729
2023-09-01	1.906895	0.627787	-3.677306	-3.924497	-1.665557
2023-10-01	1.588170	-0.017336	-3.303774	-4.281923	-2.079895
2023-11-01	1.678493	-0.253778	-2.801028	-4.242431	-1.712327
2023-12-01	1.737088	-1.096137	-2.441794	-4.340677	-1.754282
2024-01-01	2.472643	-0.828352	-1.861661	-4.289372	-0.594522
2024-02-01	1.814027	-0.726994	-1.911683	-4.218752	-1.067338
2024-03-01	0.684672	0.348384	-1.874384	-3.296731	-0.566249
2024-04-01	-1.028683	1.276513	-2.331255	-2.200291	0.052260
2024-05-01	-0.892204	1.754110	-2.002140	-1.557697	1.170080
2024-06-01	-0.892794	2.088036	-2.031736	-1.123704	1.303913
2024-07-01	-1.072987	1.568433	-1.971688	-1.478388	0.553731
2024-08-01	-1.718024	1.780976	-1.936066	-1.071902	0.790041
2024-09-01	-2.230606	1.905891	-2.020457	-0.638336	1.085159
2024-10-01	-2.272347	2.218673	-2.007822	-0.247928	1.304717
2024-11-01	-2.778225	2.486137	-2.321698	0.332913	0.792573
2024-12-01	-3.382581	2.886465	-2.639873	1.042531	0.333130
2025-01-01	NaN	NaN	NaN	NaN	NaN
2025-02-01	NaN	NaN	NaN	NaN	NaN
2025-03-01	NaN	NaN	NaN	NaN	NaN
2025-04-01	NaN	NaN	NaN	NaN	NaN
2025-05-01	NaN	NaN	NaN	NaN	NaN
2025-06-01	NaN	NaN	NaN	NaN	NaN
2025-07-01	NaN	NaN	NaN	NaN	NaN
2025-08-01	NaN	NaN	NaN	NaN	NaN
2025-09-01	NaN	NaN	NaN	NaN	NaN
2025-10-01	NaN	NaN	NaN	NaN	NaN
2025-11-01	NaN	NaN	NaN	NaN	NaN
2025-12-01	NaN	NaN	NaN	NaN	NaN
2026-01-01	NaN	NaN	NaN	NaN	NaN
2026-02-01	NaN	NaN	NaN	NaN	NaN
2026-03-01	NaN	NaN	NaN	NaN	NaN
2026-04-01	NaN	NaN	NaN	NaN	NaN
2026-05-01	NaN	NaN	NaN	NaN	NaN
2026-06-01	NaN	NaN	NaN	NaN	NaN
2026-07-01	NaN	NaN	NaN	NaN	NaN
2026-08-01	NaN	NaN	NaN	NaN	NaN
2026-09-01	NaN	NaN	NaN	NaN	NaN
2026-10-01	NaN	NaN	NaN	NaN	NaN
2026-11-01	NaN	NaN	NaN	NaN	NaN
2026-12-01	NaN	NaN	NaN	NaN	NaN
