_date_,fexp1f_h,fagr1,fagr2,fagr3,fagr4,fagr5
2007-05-01,0.088004194182586864,1.9181027536278428,4.397468407657036,2.2865731049398704,-0.7856713906359464,1.393168626884691
2007-06-01,0.12657089565310864,2.5609951575906292,4.817769083270872,3.3276736124315172,-1.3979452861319964,1.8718052767472324
2007-07-01,0.2968457155060258,2.4740306684874364,5.205931094960632,4.0067187770434224,-1.4084036708147726,1.8965595159666792
2007-08-01,0.4953658115072744,2.6594419019506556,5.4506390586178448,4.6482554099094424,-1.3025179428487044,1.7163261159422354
2007-09-01,0.58927676967602384,2.8000276007031208,4.8816006574323848,4.7062138515682376,-0.91584510371507904,1.3951316185821012
2007-10-01,0.56441905908703824,3.3014035587266296,4.4045235073855688,4.7847672563133104,-0.50865332008917128,0.62174317835906632
2007-11-01,0.47469172441491264,3.8890572483502808,3.878114358824788,4.8235680808428248,-0.27571609534923088,-0.1539493774916143
2007-12-01,0.34508502709799864,4.2051076711979152,3.360215747926698,4.70587913288738,0.040763969251895128,-0.616165400578764
2008-01-01,0.27390527135350672,4.0960811983761864,2.4376654407351644,4.60029067277068,-0.0093406440371696096,0.23701766664717128
2008-02-01,0.324078063581408,3.0161624970686784,1.455377022054329,3.9091559361471088,0.795875514169004,1.0098441537712862
2008-03-01,0.43257376549613504,2.6115926485697956,0.25896006942701056,3.279677182537812,1.1521720306102052,1.348599038699406
2008-04-01,0.4601033102341468,2.2033816836186104,-0.476113151545702,2.7434314785086648,1.7112872996722968,0.34903122077657776
2008-05-01,0.29668386805651504,3.0596107205599788,-1.2283872425023838,2.914082447562366,1.009786275254005,0.2450268808617586
2008-06-01,0.015976569942849312,3.0458513839701776,-1.5915634215889176,2.934130911849596,1.232401968667645,0.071478827536238576
2008-07-01,-0.28283466548326984,3.293364724534144,-1.7096673243237304,3.1196792146384624,1.0919722905430704,0.38595190154995192
2008-08-01,-0.46655465972044712,2.596604079009258,-1.5267170625106132,2.8321647684611732,1.2334613218114292,0.8723565016293544
2008-09-01,-0.64630752439519376,1.3874887155111126,-0.95919714895114624,2.290677303998074,1.5583140592118598,1.290141056249471
2008-10-01,-1.151333207304442,-0.53864169565589672,-0.92764075137324304,1.5566096215795004,1.6061910750404382,2.1483853233714944
2008-11-01,-2.0434364893618744,-2.1360368325383964,-0.81693089107789712,1.233778031427204,1.52981211482785,2.1448215500834752
2008-12-01,-3.1959310243962232,-2.7848316200963468,-0.93533983974597408,1.7224351022977472,0.73029663253559712,1.1925013531852318
2009-01-01,-4.336901834867832,-2.8642056319134012,-0.61137892249401208,2.0497847965024708,-0.095003356071686224,0.36097028653700784
2009-02-01,-5.211473043890404,-2.307283316188992,-0.38342437325125752,2.3692719706735392,-1.0673643813640826,-0.118489750468812
2009-03-01,-5.6662637042227384,-3.0423861256609808,-0.48034013765577624,2.1227939997528612,-1.1196203956507238,0.20976953961832728
2009-04-01,-5.6704065117351504,-3.670931598875136,-0.85805572575048384,2.140455282706454,-1.2197939882208768,0.3582718892476716
2009-05-01,-5.3825293706809184,-5.2618633848897608,-0.85221333186112608,1.8044603011256168,-0.68324248835979904,0.5495539008654928
2009-06-01,-4.966874336056528,-6.364060661150284,-0.47520001434873832,1.4533332395622536,-0.53782740654370528,0.86637007784309744
2009-07-01,-4.5031382488513184,-7.4504979250475232,-0.51180221808784832,0.84753335991777504,-0.22993789818650332,1.0716662656544612
2009-08-01,-4.0807682269247408,-7.6289178042329024,-0.89468420503064,0.59313412061386928,-0.21399191281355168,0.86453534602111136
2009-09-01,-3.6724903030313952,-7.0427835248426224,-0.92635605796218528,0.93456850308358368,-0.74496869143774928,0.8001567788924216
2009-10-01,-3.0439718515108904,-6.1027989666288256,-0.69694474817929184,1.6663432533009434,-1.2548594191209282,0.55825782071945392
2009-11-01,-2.1060691523737904,-5.27257622060538,-0.747746403759896,2.1308840127310732,-1.5789895305636108,0.69363820525972544
2009-12-01,-0.94485496976692368,-4.537815859689376,-1.1874942083884238,2.3343910268476488,-1.58288553803245,0.4975880153814456
2010-01-01,0.18167667851076392,-4.0904437115468808,-1.6756854032447914,1.928746717568848,-1.2333338357390076,0.56800818043559984
2010-02-01,1.1300192351230158,-3.4722924378787944,-1.8878376658418972,1.8811371385231788,-0.78657220579006544,-0.54748258846794216
2010-03-01,1.8302037937160736,-2.6347417667808416,-2.0983332901264816,1.7534566662682534,-0.54184992712421368,-1.587254684655885
2010-04-01,2.2416469059341468,-1.8631419415608504,-2.1234675165710068,1.8556641343001908,-0.48196313464632136,-1.9658542982584364
2010-05-01,2.4336731025278744,-0.76989695127918912,-2.4116818003715996,2.150387030273998,-0.67767623204684976,-2.3733717090872288
2010-06-01,2.4277244174836096,-0.57312465613608568,-2.3646102658927512,1.9622662163627056,-0.72721208070901904,-1.795430069050821
2010-07-01,2.3426492174528048,-0.24991442421588516,-2.1310208104893988,1.8830551203591812,-0.81522892009744592,-1.3209488072677562
2010-08-01,2.180649072054828,-0.66778800798617624,-1.6238235606891108,1.4119864114697702,-0.27162852817881548,-0.92473655918347248
2010-09-01,2.0229645935064248,-0.36363558443560264,-1.7076738796670716,1.3949217574957986,-0.06838978812058988,-0.95977523419328768
2010-10-01,1.9250003717846244,-0.2487069862587314,-1.810791263152116,0.97455448347880112,0.8302411453213304,-1.2000713631804122
2010-11-01,1.8959547643535996,-0.01765965368825663,-1.695926084878792,0.8034054701474648,1.4973350402165012,-1.5668989463264848
2010-12-01,1.9466403969983164,0.32432640707485672,-1.3261244535553182,0.84512372757204208,1.7999244436162804,-1.282662969006164
2011-01-01,2.0516091728740916,0.21645813212569236,-0.85303058374895264,0.98569770535409712,1.9517223236208388,-0.43147550505476384
2011-02-01,2.0735480752319932,-0.10585028342788924,-0.87893147313701872,0.8008429304057256,2.0930844721855756,0.81026904820945216
2011-03-01,1.976347351512238,-0.75850444518780496,-0.73035715446764864,0.56267603123617208,2.3724055400427628,1.6565237173910814
2011-04-01,1.744821924561835,-1.003549576859366,-1.1915768274630356,0.0742707772947672,2.1770327826681932,2.3566559557382944
2011-05-01,1.4867998272922474,-1.7635802986335744,-1.4630414161008626,-0.90628232032137856,2.4472760348312124,2.9369643604926396
2011-06-01,1.2811629402077578,-0.95896638254849856,-2.4592506911483504,-0.89921442561691008,2.2447143089497196,1.145118718377292
2011-07-01,1.1539688499058168,-0.36194051720131944,-2.9189954150157832,-0.63268319418108576,1.8925590964689644,0.018288841465132764
2011-08-01,1.1311435690264704,0.64139304758637352,-3.164743941269136,0.23829842196538564,0.96797199116077696,-0.45769417870739728
2011-09-01,1.1057916802100586,-0.018748324259529992,-3.1334992884547372,-0.1986668202299022,1.241338447077529,-0.1930186194084026
2011-10-01,0.95135396593450624,-0.12505400066233282,-3.522236310387838,-0.25672105699889548,0.80189502858269648,-0.2191028780293972
2011-11-01,0.65208810831058992,-0.84853344316664032,-3.8934929056789608,-0.92294436910086624,0.7870443477949752,0.13176949536060944
2011-12-01,0.28343130946361576,-2.092583311543618,-3.642387528430776,-1.8060221239096184,1.2323662619529612,0.92848809205427344
2012-01-01,-0.0983848110134588,-2.7228045657292056,-3.7662049557706288,-2.3425350302252904,1.5558587522208798,0.89479248225876784
2012-02-01,-0.45277294976248008,-2.6536936959135096,-3.8321271688972472,-2.2265260310166976,1.2986726263863402,0.55472183993634424
2012-03-01,-0.73633167829843504,-1.601056721879022,-4.8522715002505848,-1.6638722940633254,0.009865131175850112,0.80915969611626368
2012-04-01,-0.89102599939517184,-1.2297094962066862,-4.647833536697456,-1.4046574494842808,-0.13900149267887874,0.72940215070989952
2012-05-01,-0.86053386007572928,-0.78057488049680432,-4.4310392244606488,-0.77438358567754528,-0.60998066550339128,0.72813978612912192
2012-06-01,-0.66211084896337704,-0.88010906527754768,-3.6104211462941472,-0.70148064072739248,-0.29850963083545212,1.1601754855471724
2012-07-01,-0.414969005945278,-0.6732555202138656,-3.8407920686777248,-0.70427845674723536,0.020804959314573988,0.77920735273547584
2012-08-01,-0.25132908264881516,-0.12587859789272602,-4.2099025136343664,-0.84207818552284592,0.40770963655626544,-0.041077691802627328
2012-09-01,-0.23786982156726208,1.122052710253366,-4.8752239053885088,-0.1428633132228169,-0.26408195377783188,0.0011529412661841488
2012-10-01,-0.32944939124895212,1.7859739883299434,-4.7119896113695528,0.34301538927217236,-0.4832082309069828,0.2874008215852646
2012-11-01,-0.4909314359957792,2.3522816192482144,-5.1545250430772656,0.86182214307147168,-1.1625881961076512,0.77117567175737696
2012-12-01,-0.60632829027197544,3.0105487332853084,-5.6749340864235712,1.4006711153255,-1.4850023674317384,-0.057940507136575056
2013-01-01,-0.63013653826590208,3.0564365682539908,-5.7984233068426544,1.6993843388162004,-1.8157046264319004,-0.065410496464066936
2013-02-01,-0.50886482029195368,2.5045030885880096,-5.4341717758399472,1.5908060829703306,-1.7370974887377062,0.52905177645346576
2013-03-01,-0.25788655053927844,1.5570085510949156,-4.2169695481092248,1.466089328036968,-1.0666863881067516,0.37697733341835216
2013-04-01,0.067851395460534704,1.1103651979683768,-3.307650323462874,1.5940322247833396,-0.89899004437647328,-0.5139471913792548
2013-05-01,0.3217708866718526,1.4957633679491004,-2.6448466923575792,1.7338111431920066,-0.78378885708041232,-1.538400858808895
2013-06-01,0.36849083669080992,1.5840362897465308,-2.4261686859341804,1.4382118938473556,-0.79958145303995616,-1.5391019005304968
2013-07-01,0.18437779792989616,1.6628935552882888,-2.130501220148662,0.94053316213060848,-1.1060476912641648,-0.64022178826028368
2013-08-01,-0.00907063443018028,0.9236799783625856,-1.8164056034083676,0.35133094467896288,-1.2935021867447548,0.31090122448136064
2013-09-01,-0.082567502018156848,-0.50443961003819448,-0.803772716799596,-0.36269954435427464,-0.7911460511533824,0.14087175733396032
2013-10-01,-0.018627327626378228,-1.6564939994774188,-0.13589878242007216,-0.305577751735415,-0.76189636802395504,-0.24535073063940572
2013-11-01,0.09050911037745904,-2.3807253241862304,0.947519689416732,0.080345925126168032,-0.337674349388016,-1.2876529757883392
2013-12-01,0.21377821198941312,-2.238013224435084,1.0252809288577982,0.39611188642606856,-0.56766416196311912,-1.3077227082448984
2014-01-01,0.34619013538736204,-2.16026187309883,1.0158870010194618,0.2471981170912318,-0.67749911665693088,-1.155633537912163
2014-02-01,0.41789822506568776,-2.0242249570752308,0.75642662016436768,-0.046213372857728032,-0.8622129522600272,-0.80403596236862224
2014-03-01,0.3423174428406986,-2.4154665969240688,1.2072263364638418,0.0054397740501294312,-0.60340986746548312,-0.76889418713300464
2014-04-01,0.18384853149099124,-2.8693630852450452,0.95790100544757488,-0.23738936941648648,-0.208204712889749,-0.034429825095452004
2014-05-01,0.053919125294746776,-3.7574014872492776,1.0111165719272528,-0.31445681795164852,0.34932973259117456,0.33977240143403508
2014-06-01,0.053292636190667632,-4.1752420473880144,0.60160131192663832,-0.2423831672338714,0.3659243859712184,0.57478943510256312
2014-07-01,0.19438706262305112,-4.6002099408496712,0.816582344193576,0.27107094998974936,0.52159359773997928,0.1018087593593262
2014-08-01,0.37838306850967864,-4.5864209367070048,0.52579830501676704,0.41627628070245128,0.5567851719742656,0.074831429970862112
2014-09-01,0.55636676503583496,-4.0470540820802808,0.74478787435740528,0.71823442603453616,0.47736703610780216,-0.081492027995001552
2014-10-01,0.63478183123150176,-3.6637759491300664,0.63656859772604312,0.06326610884646708,0.75992069406187584,0.046934152314203728
2014-11-01,0.63747868717937928,-2.8326183227265564,0.39352841176518248,-0.34591420680516528,0.55736170811013544,0.43575250342735928
2014-12-01,0.52175666913445864,-3.0614369018041828,0.346589487157292,-0.82673666945028,0.55377554419314048,0.63632955175179952
2015-01-01,0.3627922586139112,-2.1947221395444024,0.5685542001077308,0.14410121240781786,0.11201346661457328,-0.4070103498385232
2015-02-01,0.31282612436208124,-1.5365395854138844,1.2126765286145702,0.93424281673470352,0.24972391451660092,-1.9645201841608628
2015-03-01,0.44008048429995672,-0.53127071591843456,0.9653273137853584,0.96084638617381792,-0.19414524260803612,-1.9090817223258772
2015-04-01,0.64092571242305288,-0.33987295363466412,0.7220620744978352,0.4700030797786816,-0.59539116442217888,-1.3103051949689124
2015-05-01,0.73850118430155536,0.11370344414193084,0.38496797004295416,0.088571377238588608,-0.93775818985852432,-1.124637597376399
2015-06-01,0.72111877497344384,0.2916178728523796,0.63501617972392712,-0.13475734766616914,-0.80941042439912496,-1.2441617040871338
2015-07-01,0.6722336619826692,0.34663718807341228,0.55193411903099624,-0.503991704316206,-0.53238932412732688,-1.2399087978214002
2015-08-01,0.57652375115812352,0.45747109676136784,0.62459976113927464,-0.56313457182920648,-0.12386366279005778,-2.2301173921087768
2015-09-01,0.4572226142236108,0.80239374879107472,0.50906633343544792,-0.32992830519814564,-0.31533364023821588,-2.7732669507276556
2015-10-01,0.40233254341019,1.4965953944370732,0.46378123182053656,-0.066619616866689544,-0.80650220880776144,-2.1044589133348
2015-11-01,0.47856915975392136,0.9843684461244376,0.52855496135184832,-0.30767974733458436,-0.67822055808568872,-1.371386570618597
2015-12-01,0.59713691983990216,0.70653988591371272,0.30729011114871696,-0.5548791922799072,-0.71726604784056328,-0.81678893239985584
2016-01-01,0.69185304321801176,-0.12257643005302314,0.33384891854479392,-1.2537079521188604,-0.3952073675560952,-0.38595002771762288
2016-02-01,0.7056088028082124,-1.1215410778776582,0.26438508097794628,-1.704680069988586,-0.27417995431771124,0.1585753497399442
2016-03-01,0.65487426779595512,-1.6187265707734986,0.47961766409510112,-1.710956445557191,-0.16423307552757354,-0.28460481744563188
2016-04-01,0.62039635277293152,-1.8104675659311336,0.8153318812251416,-1.4875900867154746,0.27808544499130428,-1.4192553247412722
2016-05-01,0.59534716927026056,-1.697530464734419,0.95052676673068736,-1.4283243447904672,0.2127767640011496,-1.3102961298892062
2016-06-01,0.53246400712653296,-1.5618283607403872,0.9249536756149416,-1.4215850836021414,0.28708971451947972,-1.3518120884299532
2016-07-01,0.3749251241411188,-1.108133614360125,0.8030479716785464,-1.4941121690355386,-0.025553996852000436,-0.91855395841892368
2016-08-01,0.28222468081217088,-1.3126485302089466,1.1511307379232356,-1.6816705908779448,-0.2152418598403952,0.07233723385022376
2016-09-01,0.30666908875455636,-1.7736034646893132,0.98616557423256496,-1.9903212588624892,-0.2414519310024168,0.74260037052809744
2016-10-01,0.44014002155901144,-2.3840845789713268,0.91853190722563712,-1.9707540460165872,0.12183692567753008,0.061320502868845936
2016-11-01,0.59743996767063576,-2.0057340567637852,1.0324883968940798,-1.4448294144174306,0.050140096587921096,-0.81378833375831744
2016-12-01,0.81510189679345184,-1.3220357059330572,1.6476279485468406,-1.0804010422255918,0.19975051777553428,-1.3724515752462232
2017-01-01,1.053104123417624,-0.32518447360876144,2.0466119058741708,-0.74721135635445584,0.61079115251895048,-2.5253811622708936
2017-02-01,1.1933944520047692,0.98109740826770336,1.5013861595109066,-0.8894591810644744,0.12224217542958398,-2.0324215684975416
2017-03-01,1.2392626900372516,1.0850234919829884,1.3076000823713114,-1.26512623443856,0.24967262356210064,-1.5962604127932898
2017-04-01,1.169451333087163,0.96188900490076896,1.0340471265376408,-1.394793925312951,-0.22643742617622196,-0.26842268843560596
2017-05-01,1.135773843525993,0.28450607104633212,1.4268018484428294,-1.419830727868251,0.093504712467227952,-0.43890497271535616
2017-06-01,1.1260185397968378,0.19540431956073312,1.3756258440528104,-1.0046419140284644,-0.2566253055635666,-0.53482731277886496
2017-07-01,1.1494139811913042,-0.32735753244571768,1.396391990472787,-0.62758241062272624,-0.14712620868294304,-1.1308621960922726
2017-08-01,1.1453104535071612,-0.13366603250288628,0.88156518061256496,-0.0047123838789556448,-0.45498580528652032,-1.5158437123390742
2017-09-01,1.1468650033934392,0.1665529747231446,0.76407082009994992,0.29436754481061352,-0.44249075029841736,-1.7325111148075152
2017-10-01,1.1190871466040148,1.2418628027410166,0.66762115471213072,0.42975124932035448,-0.75185504255289504,-1.607247814808455
2017-11-01,0.99748041657058624,1.6612412428830534,0.99547977840669856,0.2256764642799192,-0.68951897955176032,-1.429599303540176
2017-12-01,0.7941908847099904,1.585384221442959,1.1162581162447284,0.013305451138892616,-0.61274020367581264,-1.1481804743084254
2018-01-01,0.59086640280848376,0.69770737995738408,1.2753822103279334,-0.21973947356892916,-0.34803659499577428,-0.53259558924024856
2018-02-01,0.42483598351909728,-0.040727987507118944,1.608796387195562,-0.12505052206526676,0.20643439340223224,-0.92117852379235408
2018-03-01,0.3102176619401472,-0.12828686851001766,1.4032558855260682,-0.081533667451307408,0.25639570163385668,-0.98780777473745296
2018-04-01,0.22248484182112064,0.15150125930639188,1.579208895829365,0.016670517466612648,0.59434034176736496,-1.7006139287214998
2018-05-01,0.15036830644060014,0.8898186573366584,1.2059249919691068,-0.021744609275616488,0.37555166239609192,-1.5368920515405978
2018-06-01,0.08482468889988648,1.035285040727488,1.210674846353223,-0.2367709751783446,0.25087279008752352,-0.75852043974340624
2018-07-01,0.021494292175572328,0.92694268471602864,1.180215246510198,-0.51231972056507448,0.074689035214459792,-0.0006624393882687096
2018-08-01,-0.048349738113337328,0.44385652762645312,1.3123260422647324,-0.60198434546812888,0.048597328503612584,0.055024307304341432
2018-09-01,-0.1508611766680282,0.3901318243251012,1.220509506192641,-0.60418055395680344,0.16167866308208464,-0.22112243892430872
2018-10-01,-0.24322469518628188,0.22823382758733628,1.352160304908662,-0.64904265274053904,0.34915314109446244,-0.54817213255996288
2018-11-01,-0.29348982083806896,-0.01455893368413848,1.139552168475501,-0.86006416773533696,0.28317084356426008,0.090927471564293648
2018-12-01,-0.30643708649465536,-0.39881123403359456,1.556507534731921,-0.74585080619953776,0.3163304545354942,0.045452215703023544
2019-01-01,-0.34101378693078804,-1.5392424544235368,2.1813898299470648,-1.1744052586334896,0.77976965776070816,0.68097053090914048
2019-02-01,-0.324916474972986,-2.1344020654556596,2.6314804161624496,-1.3567469517379374,1.0742678028497202,1.3756747391208378
2019-03-01,-0.26805579329745792,-2.5272028184985456,2.7333437915935028,-1.4257536766263956,1.3270069446652772,1.7453717216450382
2019-04-01,-0.18962582934978844,-2.184796692627756,2.046593500526748,-1.0791354496696708,0.54324137833078016,2.0359880969175748
2019-05-01,-0.14964911082672656,-2.6581760611329148,2.1436600103070108,-0.97420831920160848,0.60974931031040792,1.8201342101417796
2019-06-01,-0.17000599076432554,-2.4030103601158976,1.8982420656790768,-0.74914838446792304,0.73400573163087808,0.90857140427384976
2019-07-01,-0.2501897857266064,-1.7133641430994176,1.4115162467283074,-0.2620205577490168,0.4629789852484548,-0.12989720365242152
2019-08-01,-0.32742550559933964,-1.145511979223616,0.90696782800624272,-0.4363928567932784,0.28266943685805244,0.043644593517506712
2019-09-01,-0.29725542014082316,-1.704749777145856,1.226695330975668,-1.0752328388849614,0.79106021431311664,0.53950992251374032
2019-10-01,-0.13422361866367294,-2.4106485429971392,1.4600412824522228,-1.665981236569571,1.4210232780017812,0.91835618453562512
2019-11-01,0.17697080173282458,-2.4599726032085588,1.6885314768321152,-1.8043552811569756,1.820278410847012,0.53302455115744072
2019-12-01,0.46356312426696144,-2.1885470856225312,1.0251834931275872,-1.9226653290422652,1.54586106574933,1.0450066299282282
