_date_	fexp1	fexp2	fexp3	fexp4	fexp5
1995-01-01	NA	NA	NA	NA	NA
1995-02-01	NA	NA	NA	NA	NA
1995-03-01	NA	NA	NA	NA	NA
1995-04-01	NA	NA	NA	NA	NA
1995-05-01	NA	NA	NA	NA	NA
1995-06-01	NA	NA	NA	NA	NA
1995-07-01	NA	NA	NA	NA	NA
1995-08-01	NA	NA	NA	NA	NA
1995-09-01	NA	NA	NA	NA	NA
1995-10-01	NA	NA	NA	NA	NA
1995-11-01	NA	NA	NA	NA	NA
1995-12-01	NA	NA	NA	NA	NA
1996-01-01	NA	NA	NA	NA	NA
1996-02-01	NA	NA	NA	NA	NA
1996-03-01	NA	NA	NA	NA	NA
1996-04-01	NA	NA	NA	NA	NA
1996-05-01	NA	NA	NA	NA	NA
1996-06-01	NA	NA	NA	NA	NA
1996-07-01	NA	NA	NA	NA	NA
1996-08-01	NA	NA	NA	NA	NA
1996-09-01	NA	NA	NA	NA	NA
1996-10-01	NA	NA	NA	NA	NA
1996-11-01	NA	NA	NA	NA	NA
1996-12-01	NA	NA	NA	NA	NA
1997-01-01	NA	NA	NA	NA	NA
1997-02-01	NA	NA	NA	NA	NA
1997-03-01	NA	NA	NA	NA	NA
1997-04-01	NA	NA	NA	NA	NA
1997-05-01	NA	NA	NA	NA	NA
1997-06-01	NA	NA	NA	NA	NA
1997-07-01	NA	NA	NA	NA	NA
1997-08-01	NA	NA	NA	NA	NA
1997-09-01	NA	NA	NA	NA	NA
1997-10-01	NA	NA	NA	NA	NA
1997-11-01	NA	NA	NA	NA	NA
1997-12-01	NA	NA	NA	NA	NA
1998-01-01	NA	NA	NA	NA	NA
1998-02-01	NA	NA	NA	NA	NA
1998-03-01	NA	NA	NA	NA	NA
1998-04-01	NA	NA	NA	NA	NA
1998-05-01	NA	NA	NA	NA	NA
1998-06-01	NA	NA	NA	NA	NA
1998-07-01	NA	NA	NA	NA	NA
1998-08-01	NA	NA	NA	NA	NA
1998-09-01	NA	NA	NA	NA	NA
1998-10-01	NA	NA	NA	NA	NA
1998-11-01	NA	NA	NA	NA	NA
1998-12-01	NA	NA	NA	NA	NA
1999-01-01	NA	NA	NA	NA	NA
1999-02-01	NA	NA	NA	NA	NA
1999-03-01	NA	NA	NA	NA	NA
1999-04-01	NA	NA	NA	NA	NA
1999-05-01	NA	NA	NA	NA	NA
1999-06-01	NA	NA	NA	NA	NA
1999-07-01	NA	NA	NA	NA	NA
1999-08-01	NA	NA	NA	NA	NA
1999-09-01	NA	NA	NA	NA	NA
1999-10-01	NA	NA	NA	NA	NA
1999-11-01	NA	NA	NA	NA	NA
1999-12-01	NA	NA	NA	NA	NA
2000-01-01	NA	NA	NA	NA	NA
2000-02-01	NA	NA	NA	NA	NA
2000-03-01	NA	NA	NA	NA	NA
2000-04-01	NA	NA	NA	NA	NA
2000-05-01	NA	NA	NA	NA	NA
2000-06-01	NA	NA	NA	NA	NA
2000-07-01	NA	NA	NA	NA	NA
2000-08-01	NA	NA	NA	NA	NA
2000-09-01	NA	NA	NA	NA	NA
2000-10-01	NA	NA	NA	NA	NA
2000-11-01	NA	NA	NA	NA	NA
2000-12-01	NA	NA	NA	NA	NA
2001-01-01	NA	NA	NA	NA	NA
2001-02-01	NA	NA	NA	NA	NA
2001-03-01	NA	NA	NA	NA	NA
2001-04-01	NA	NA	NA	NA	NA
2001-05-01	NA	NA	NA	NA	NA
2001-06-01	NA	NA	NA	NA	NA
2001-07-01	NA	NA	NA	NA	NA
2001-08-01	NA	NA	NA	NA	NA
2001-09-01	NA	NA	NA	NA	NA
2001-10-01	NA	NA	NA	NA	NA
2001-11-01	NA	NA	NA	NA	NA
2001-12-01	NA	NA	NA	NA	NA
2002-01-01	NA	NA	NA	NA	NA
2002-02-01	NA	NA	NA	NA	NA
2002-03-01	NA	NA	NA	NA	NA
2002-04-01	NA	NA	NA	NA	NA
2002-05-01	NA	NA	NA	NA	NA
2002-06-01	NA	NA	NA	NA	NA
2002-07-01	NA	NA	NA	NA	NA
2002-08-01	NA	NA	NA	NA	NA
2002-09-01	NA	NA	NA	NA	NA
2002-10-01	NA	NA	NA	NA	NA
2002-11-01	NA	NA	NA	NA	NA
2002-12-01	NA	NA	NA	NA	NA
2003-01-01	NA	NA	NA	NA	NA
2003-02-01	NA	NA	NA	NA	NA
2003-03-01	NA	NA	NA	NA	NA
2003-04-01	NA	NA	NA	NA	NA
2003-05-01	NA	NA	NA	NA	NA
2003-06-01	NA	NA	NA	NA	NA
2003-07-01	NA	NA	NA	NA	NA
2003-08-01	NA	NA	NA	NA	NA
2003-09-01	NA	NA	NA	NA	NA
2003-10-01	NA	NA	NA	NA	NA
2003-11-01	NA	NA	NA	NA	NA
2003-12-01	NA	NA	NA	NA	NA
2004-01-01	NA	NA	NA	NA	NA
2004-02-01	NA	NA	NA	NA	NA
2004-03-01	NA	NA	NA	NA	NA
2004-04-01	NA	NA	NA	NA	NA
2004-05-01	NA	NA	NA	NA	NA
2004-06-01	NA	NA	NA	NA	NA
2004-07-01	NA	NA	NA	NA	NA
2004-08-01	NA	NA	NA	NA	NA
2004-09-01	NA	NA	NA	NA	NA
2004-10-01	NA	NA	NA	NA	NA
2004-11-01	NA	NA	NA	NA	NA
2004-12-01	NA	NA	NA	NA	NA
2005-01-01	NA	NA	NA	NA	NA
2005-02-01	NA	NA	NA	NA	NA
2005-03-01	-0.1262299281817082	-0.38535202321248904	-0.3584127202766506	-0.13193025348474804	-0.44923276598484984
2005-04-01	-0.12908416681002938	0.033164085365920504	-0.061717331256347096	0.54033995825284696	-0.38175730253289032
2005-05-01	-0.1362683166365114	-0.031918210315491136	-0.080847829382131648	-0.084150945906939232	-0.60674195083474344
2005-06-01	-0.12831183783108712	-0.05060459931992792	0.35155414609832512	-0.35733337724839932	-0.68853427419833704
