_date_	finv1	finv2	finv3	finv4	finv5
2013-04-01	-1.263488	-0.042591	-1.081020	1.171780	0.198662
2013-05-01	-0.689345	-0.704918	0.497388	-1.051791	-1.710265
2013-06-01	-0.516496	-1.374969	-0.907058	-0.421633	-0.118149
2013-07-01	0.105021	-0.771313	-1.891550	1.525809	0.948790
2013-08-01	1.002911	0.790561	0.023081	1.376864	-0.737357
2013-09-01	1.549558	0.960308	0.473056	1.181675	-1.494199
2013-10-01	1.817658	0.727470	0.238292	1.256833	-1.055815
2013-11-01	2.306304	0.836837	0.277376	1.503101	-0.525503
2013-12-01	2.756535	1.994554	0.403440	2.394295	-0.426636
2014-01-01	3.095962	2.393344	1.104573	2.265254	-1.383872
2014-02-01	3.110783	1.736469	1.659856	1.109209	-2.368292
2014-03-01	2.729369	1.198118	0.918524	0.958605	-1.311980
2014-04-01	2.937618	0.766335	0.006301	1.245071	-0.846127
2014-05-01	3.174777	1.475017	0.270172	1.175536	-0.863947
2014-06-01	2.692727	1.084329	0.917242	-0.019286	-1.169340
2014-07-01	2.076017	1.324790	0.591932	-0.219877	-0.783606
2014-08-01	1.320710	0.546929	-0.199492	-0.330398	-0.452104
2014-09-01	1.510096	0.400119	-0.289338	-0.594852	-0.236339
2014-10-01	1.725963	0.505282	-1.226455	0.270469	0.297153
2014-11-01	1.955337	0.668894	-0.426815	-0.562985	-0.623011
2014-12-01	1.748466	0.228163	-0.257341	-1.541475	-0.833066
2015-01-01	1.263957	-0.836884	-1.250785	-1.726215	-0.335157
2015-02-01	1.304869	-1.315504	-1.839058	-1.877427	0.182186
2015-03-01	1.883267	-0.703296	-2.506783	-1.000638	1.050557
2015-04-01	2.036597	0.622850	-1.658631	-0.808068	0.623211
2015-05-01	2.436026	1.244447	-1.004948	-0.814992	-0.150529
2015-06-01	2.844712	1.449361	-1.391228	0.042950	-0.202782
2015-07-01	3.234799	0.050528	-0.696390	-1.088362	-1.138546
2015-08-01	2.745008	-1.226306	-0.398907	-2.485243	-1.152807
2015-09-01	2.210584	-2.005587	-2.074687	-1.641707	0.464923
2015-10-01	2.194435	-1.411836	-2.122260	-1.270631	0.566410
2015-11-01	2.424947	-1.413329	-1.516180	-1.878583	-0.207244
2015-12-01	2.131283	-1.752858	-1.578245	-2.174558	-0.014723
2016-01-01	2.007701	-1.755035	-1.942432	-1.962942	0.738434
2016-02-01	2.072214	-0.791838	-1.859716	-1.257328	1.140419
2016-03-01	1.930203	0.018990	-1.058650	-1.422202	0.670711
2016-04-01	1.986886	-0.347469	-0.993051	-1.826104	0.054070
2016-05-01	1.185666	-1.445754	-0.971821	-2.943063	-0.284967
2016-06-01	0.862102	-1.674723	-1.605824	-2.715989	1.142859
2016-07-01	0.305588	-0.602045	-2.205120	-1.417552	1.754073
2016-08-01	1.491052	1.854311	-1.988758	0.029975	1.774266
2016-09-01	1.755796	2.618154	-0.702855	-0.486590	0.133429
2016-10-01	1.610804	2.227325	0.761746	-2.263212	-0.634122
2016-11-01	0.751566	1.481732	-0.772527	-1.133214	0.857626
2016-12-01	0.835798	1.652641	-0.933162	-0.446276	0.958231
2017-01-01	1.421579	2.287924	-0.479361	-0.097380	0.460951
2017-02-01	1.394936	2.063279	-0.117901	-0.474214	-0.220874
2017-03-01	1.234664	0.806921	0.009499	-1.675944	-0.944416
2017-04-01	0.537952	0.082365	-0.614452	-1.832545	0.316566
2017-05-01	0.888619	0.468757	-1.756874	-0.390866	1.592395
2017-06-01	1.304803	1.392073	-1.132352	-0.220699	0.567031
2017-07-01	1.878046	1.483561	-0.260811	-1.078627	-0.103055
2017-08-01	1.697403	1.438874	-0.691128	-0.824601	0.463618
2017-09-01	1.979232	1.807726	-0.861344	-0.317599	0.533187
2017-10-01	2.430500	2.315081	-0.757952	0.028076	0.203899
2017-11-01	2.875387	2.738686	-0.349662	-0.055076	-0.064780
2017-12-01	3.010329	3.083016	-0.149408	-0.101132	-0.186969
2018-01-01	2.734399	2.831153	0.156510	-0.603196	-0.538450
2018-02-01	2.275263	2.383548	0.218831	-0.958091	-0.492806
2018-03-01	2.067157	2.593112	-0.407138	-0.059508	0.516926
2018-04-01	1.257432	0.196138	0.315110	-2.180176	-1.949679
2018-05-01	0.249856	-2.087907	0.042137	-4.176387	-1.355223
2018-06-01	-0.525396	-3.600024	-3.115199	-2.260427	1.767592
2018-07-01	0.055107	-1.960902	-2.763986	-1.174648	1.500810
2018-08-01	0.763948	-0.727718	-1.651113	-1.040597	0.405121
2018-09-01	0.184359	-1.229016	-0.501100	-2.536946	-0.696834
2018-10-01	-0.345406	-1.473032	-0.888273	-2.525950	0.329002
2018-11-01	-0.959887	-1.397260	-1.939483	-1.454515	1.363775
2018-12-01	-0.848563	-1.288224	-1.100027	-2.281834	0.336090
2019-01-01	-0.384120	-0.190350	-1.958765	-0.858349	1.632494
2019-02-01	-0.149314	-0.320593	-1.622698	-1.080006	0.425025
2019-03-01	-0.040782	-0.484624	-0.246283	-2.799338	-0.636030
2019-04-01	0.562398	1.665613	-2.588116	0.558130	3.193265
2019-05-01	1.731720	4.178549	-1.557272	1.883895	1.538095
2019-06-01	2.492065	5.567626	1.680114	-0.575892	-1.494092
2019-07-01	1.709815	4.089332	0.568426	-0.994034	-0.540524
2019-08-01	0.662551	1.916503	-0.051659	-2.558543	-0.987836
2019-09-01	0.320599	1.358575	-1.020780	-2.597664	0.488731
2019-10-01	-0.027381	0.739905	-2.349919	-1.927564	1.323506
2019-11-01	0.034646	0.496128	-1.162881	-3.122535	-0.040371
2019-12-01	0.058650	0.975425	-2.151780	-1.786901	1.787403
2020-01-01	-0.189248	1.075638	-1.682590	-1.720144	0.980126
2020-02-01	0.522829	2.979859	-1.091090	-1.065276	1.218440
2020-03-01	-2.926234	2.756650	1.091725	-3.464779	-0.700285
2020-04-01	-11.001191	3.481188	5.552105	-8.902424	-2.484195
2020-05-01	-16.103783	4.735954	-2.378634	-2.552040	0.731416
2020-06-01	-14.198752	5.529277	-7.644325	2.964177	-1.332264
2020-07-01	-6.748217	4.316291	-4.945682	0.328601	-3.313498
2020-08-01	-3.292008	3.065084	-3.915930	-0.832826	-2.292638
2020-09-01	-1.408396	3.804992	-3.705552	-0.225313	-1.411897
2020-10-01	-0.837092	3.983658	-2.728481	-0.578648	-3.028597
2020-11-01	-0.225886	4.716512	-2.324748	-0.841478	-3.270765
2020-12-01	-0.418945	4.266611	-2.701329	-0.744050	-3.269977
2021-01-01	-0.939972	3.748446	-1.546604	-2.478802	-4.094064
2021-02-01	-2.148214	2.494677	-2.304184	-2.907660	-3.177954
2021-03-01	0.863234	2.356757	-6.258323	1.255280	-0.812078
2021-04-01	9.841955	3.002387	-9.298466	6.509736	0.000604
2021-05-01	14.963735	1.785314	-0.948162	0.387606	-2.966728
2021-06-01	12.699966	1.624646	5.380873	-5.514006	-0.918591
2021-07-01	5.062958	2.567533	2.578644	-2.897960	2.087480
2021-08-01	2.101216	4.608205	1.416036	-0.998625	2.619999
2021-09-01	1.228907	4.752547	1.460470	-0.866593	2.310272
2021-10-01	1.141966	5.098542	2.056743	-1.077572	2.939166
2021-11-01	0.999277	4.705880	1.713676	-0.559208	3.665592
2021-12-01	1.117261	4.091271	2.091257	-1.238092	3.037458
2022-01-01	1.691918	3.512293	1.202027	-0.841121	3.660893
2022-02-01	2.095348	2.664882	1.009979	-0.829768	3.308542
2022-03-01	1.972805	2.665442	2.341228	-1.658029	3.440309
2022-04-01	1.451127	1.321237	2.016182	-1.444169	3.915964
2022-05-01	1.485719	1.131103	1.578566	-0.620362	4.255291
2022-06-01	2.449266	0.286359	1.087863	0.254732	4.229336
2022-07-01	2.791786	0.249610	1.707243	-0.364696	2.431530
2022-08-01	3.132675	0.161797	0.889601	-0.129161	2.193880
2022-09-01	3.067238	-0.293786	0.374835	0.052684	1.166573
2022-10-01	3.191226	-0.415418	0.855232	-0.101385	0.724996
2022-11-01	2.786265	-0.502157	0.569881	0.670332	0.903721
2022-12-01	2.896974	0.151841	0.618507	1.042608	0.296992
2023-01-01	2.754850	-0.295263	1.027533	0.231703	-0.494762
2023-02-01	2.687591	-0.649079	0.823895	0.199618	0.243321
2023-03-01	2.911465	-0.730752	-0.208372	1.267434	0.690263
2023-04-01	2.799438	-0.271611	0.852224	0.654050	-0.383746
2023-05-01	2.623616	-0.118683	0.916980	0.490238	-0.313710
2023-06-01	1.973186	-0.121510	0.318855	0.849275	-0.612962
2023-07-01	2.063440	-0.524854	0.465518	0.441942	-0.819753
2023-08-01	1.016248	-1.743959	0.971067	-0.789139	-1.268103
2023-09-01	0.177697	-2.131606	0.488623	-0.588258	-0.063393
2023-10-01	-0.316856	-2.550160	-0.635433	0.407925	0.184215
2023-11-01	0.284892	-2.461178	-0.298770	-0.022806	-0.298889
2023-12-01	0.173801	-2.545605	-0.232866	-0.421163	0.309076
2024-01-01	0.118048	-1.548523	-0.367065	0.083567	1.032352
2024-02-01	0.182977	-0.452427	-0.316357	0.808766	0.690749
2024-03-01	0.388873	0.230654	0.612506	0.453602	0.094112
2024-04-01	0.594509	0.092449	0.369090	0.476975	-0.142234
2024-05-01	0.251994	-0.463820	0.407743	-0.062656	-0.540041
2024-06-01	-0.018572	-1.012508	0.432030	-0.448494	-0.078300
2024-07-01	-0.493097	-0.359699	-0.091594	0.545196	0.861830
2024-08-01	-0.390228	0.514884	0.249272	0.859868	0.551921
2024-09-01	0.152969	1.023592	0.389153	0.829370	0.051633
2024-10-01	0.428343	0.565917	0.347201	0.524114	-0.166071
2024-11-01	0.216342	-0.143207	0.795470	-0.377080	-0.436127
2024-12-01	-0.238085	-0.954174	0.244370	-0.517958	-0.273151
2025-01-01	NaN	NaN	NaN	NaN	NaN
2025-02-01	NaN	NaN	NaN	NaN	NaN
2025-03-01	NaN	NaN	NaN	NaN	NaN
2025-04-01	NaN	NaN	NaN	NaN	NaN
2025-05-01	NaN	NaN	NaN	NaN	NaN
2025-06-01	NaN	NaN	NaN	NaN	NaN
2025-07-01	NaN	NaN	NaN	NaN	NaN
2025-08-01	NaN	NaN	NaN	NaN	NaN
2025-09-01	NaN	NaN	NaN	NaN	NaN
2025-10-01	NaN	NaN	NaN	NaN	NaN
2025-11-01	NaN	NaN	NaN	NaN	NaN
2025-12-01	NaN	NaN	NaN	NaN	NaN
2026-01-01	NaN	NaN	NaN	NaN	NaN
2026-02-01	NaN	NaN	NaN	NaN	NaN
2026-03-01	NaN	NaN	NaN	NaN	NaN
2026-04-01	NaN	NaN	NaN	NaN	NaN
2026-05-01	NaN	NaN	NaN	NaN	NaN
2026-06-01	NaN	NaN	NaN	NaN	NaN
2026-07-01	NaN	NaN	NaN	NaN	NaN
2026-08-01	NaN	NaN	NaN	NaN	NaN
2026-09-01	NaN	NaN	NaN	NaN	NaN
2026-10-01	NaN	NaN	NaN	NaN	NaN
2026-11-01	NaN	NaN	NaN	NaN	NaN
2026-12-01	NaN	NaN	NaN	NaN	NaN
